title,description,pricing,tags,utility_score,link,pros,image_url,slug,created_at
Zmo.ai,AI-powered fashion design and video generation tool,Freemium,"[""Dog clothes"", ""AI Fashion"", ""Video Generation""]",90,https://zmo.ai,"[""AI Model"", ""Video Gen"", ""Free Tier""]",,zmo-ai-167,2026-07-11T11:23:39.416424+00:00
Pet Try On,AI-powered pet clothes try-on platform,Free,"[""Dog clothes"", ""Pet Fashion"", ""AI Try-On""]",92,https://pettryon.com,"[""Multi-Angle"", ""Fur-Fabric"", ""Realistic""]",,pet-try-on-168,2026-07-11T11:23:41.493471+00:00
Look Fashion AI,Real-time AI fashion design platform for various apparel types,Paid,"[""Dog clothes"", ""AI Fashion"", ""Real-Time""]",95,https://lookfashion.ai,"[""Real-Time"", ""Pet Apparel"", ""Fashion Design""]",https://lookfashion.ai/_nuxt-website/landing-hero-realtime-workspace-ui-1280.By2NJL3Z.webp,look-fashion-ai-169,2026-07-11T11:23:44.456441+00:00
Acloset,AI fashion assistant for pet owners to design and shop,Freemium,"[""Dog clothes"", ""AI fashion"", ""Virtual try-on""]",88,https://www.acloset.ai,"[""Virtual Try-On"", ""AI Styling"", ""Pet Fashion""]",,acloset-170,2026-07-11T11:23:56.35686+00:00
WearView,Consumer-focused fashion AI platform for virtual try-on and product-to-model transformation.,Paid,"[""clothes"", ""Generative AI"", ""Productivity""]",90,https://www.wearview.co,"[""Virtual Try-On"", ""AI Model Creation"", ""Product Transformation""]",https://www.wearview.co/og-image.webp,wearview-171,2026-07-11T11:24:16.872532+00:00
FashionINSTA,AI tool for creating production-ready patterns from sketches.,Freemium,"[""clothes"", ""Fashion Design"", ""AI""]",92,https://fashioninsta.ai,"[""Sketch-To-Pattern"", ""Production Ready"", ""Grading Rules""]",https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2148660329/images/32c02ff-74b-7e0b-f07e-c2fa7c6806f_a5863f5e-6c51-49da-98db-e8fe838d87a1.png,fashioninsta-172,2026-07-11T11:24:18.778314+00:00
Trayve,"All-in-one platform for virtual try-on, post-ready, and shop-ready features.",Paid,"[""clothes"", ""E-commerce"", ""AI""]",95,https://www.trayve.app,"[""Virtual Try-On"", ""Post Ready"", ""Shop Ready""]",https://www.trayve.app/og-image.png,trayve-173,2026-07-11T11:24:20.186344+00:00
AnimeGenius,Create high-quality anime art with AI tools,Free,"[""Anime creation"", ""Generative AI"", ""Art""]",90,https://animegenius.live3d.io,"[""Realtime Painter"", ""AI Upscaler"", ""OC Maker""]",,animegenius-174,2026-07-11T18:06:16.245938+00:00
ImagineArt,Create unique anime videos with high customization level,Paid,"[""Anime creation"", ""AI Video"", ""Customization""]",92,https://www.imagine.art,"[""High Custom"", ""Unique Styles"", ""Fast Rendering""]",https://cdn-imagine.vyro.ai/imagine-dashboard/assets/images/link-assets/og.png,imagineart-176,2026-07-11T18:06:19.652133+00:00
Adobe Express,Create stunning posters with AI-powered layout suggestions and Adobe Stock integration.,Free plan,"[""poster 3 x 5 ft"", ""Generative AI"", ""Productivity""]",92,https://www.adobe.com/express.html,"[""AI Layout"", ""Stock Integration"", ""Brand Tools""]",,adobe-express-177,2026-07-16T06:13:00.010994+00:00
PosterMyWall,Create attractive posters and event flyers with a comprehensive tools library and HD quality prints.,Free plan,"[""poster 3 x 5 ft"", ""Event Marketing"", ""Print-ready""]",90,https://www.postermypwall.com,"[""Event Templates"", ""HD Prints"", ""Brand Management""]",,postermywall-178,2026-07-16T06:13:02.142761+00:00
Tofu,"AI document processing tool for accounting firms to extract data from invoices, receipts, and bank statements.",Paid,"[""I need to extract text from a messy scanned receipt and format it into clean JSON"", ""Generative AI"", ""Productivity""]",92,https://gotofu.com,"[""Auto Extraction"", ""Line Item"", ""Chart Accounts""]",https://cdn.prod.website-files.com/695b2d9494f7ad77cae24bf5/6a571067ade93e56c315d0a0_og-home-v2.jpg,tofu-116,2026-06-06T16:30:34.13083+00:00
PixAI,"Generate anime art with AI, no drawing skills required",Freemium,"[""Anime creation"", ""AI Art"", ""Mobile App""]",85,https://pixai.app,"[""AI Art"", ""Easy Use"", ""Fast Results""]",https://www.pixai.com/x/img/pixai-social-share.jpg,pixai-175,2026-07-11T18:06:18.247094+00:00
ABBYY FineReader,AI-powered PDF editor and document analysis tool for text recognition and conversion,$69/year,"[""Pdf"", ""Document Analysis"", ""Text Recognition""]",88,https://www.abbyy.com,"[""Text Recognition"", ""PDF Editing"", ""Image Conversion""]",https://edge.sitecorecloud.io/abbyydeveloc5ba-xmc0fa5-prod859e-c28d/media/project/abbyy/abbyy/cs-color-logo/client-logos/abbyy-logo.svg?iar=0,abbyy-finereader-107,2026-06-05T08:26:14.732358+00:00
HireTruffle,AI recruiting software for mid-to-large companies,Paid,"[""jobs"", ""AI recruiting"", ""HR""]",90,https://www.hiretruffle.com,"[""Custom Integrations"", ""Interview Scorecard"", ""Scalable Platform""]",https://www.hiretruffle.com/alt-hero.png,hiretruffle-179,2026-07-24T05:49:21.646583+00:00
Tripleten,AI-powered job application automation platform,Freemium,"[""jobs"", ""AI automation"", ""Productivity""]",92,https://tripleten.com,"[""AI Automation"", ""Customization Options"", ""Slick Application""]",https://tripleten-landings.s3.amazonaws.com/content/20260407192354/MainPage-1775582633.webp,tripleten-180,2026-07-24T05:49:22.290277+00:00
OpenArt AI Hairstyle Changer,Try new hairstyles online with OpenArt's AI-powered tool.,Free,"[""Hairstyles"", ""Generative AI"", ""Image Editing""]",92,https://openart.ai,"[""Realistic Previews"", ""Variety Models"", ""Outstanding Support""]",https://cdn.openart.ai/assets/internal/uploads/image_PGRJom1C_1200x630_1776245286893.webp?v=20260521-1549,openart-ai-hairstyle-changer-181,2026-07-27T10:36:56.401938+00:00
The Hairstyler AI Virtual Hairstyler,"Virtually try on over 14,000 hairstyles with The Hairstyler's AI tool.",Free,"[""Hairstyles"", ""Virtual Try-On"", ""AI-powered""]",95,https://www.thehairstyler.com,"[""14000 Hairstyles"", ""18 Hair Colors"", ""Revolutionary Tool""]",https://hairstyles.thehairstyler.com/hairstyle_views/front_view_images/12202/original/medium-wavy-hairstyle.jpg,the-hairstyler-ai-virtual-hairstyler-182,2026-07-27T10:36:58.147895+00:00
Beemgee,Story development tool for character-driven outlining and plot generation.,Paid,"[""character"", ""Story Development"", ""AI Writing""]",88,https://www.beemgee.com,"[""Character Cards"", ""Plot Points"", ""Dramatic Question""]",https://www.beemgee.com/wp-content/uploads/2017/10/Beemgee_Product_shot-e1508590972505.png,beemgee-183,2026-07-27T11:10:38.471726+00:00
JOI AI,AI-powered girlfriend simulator with character variety and customization.,$16.65/mo,"[""character"", ""AI Simulator"", ""Virtual Companion""]",90,https://www.joi.ai,"[""AI Girlfriend"", ""Character Variety"", ""Customization""]",https://static.joi.ai/_next/static/media/joi.0ieqik5orongf.jpg?dpl=2-146-0-safe,joi-ai-184,2026-07-27T11:10:40.141524+00:00
AI Animal Generator,"Create, restyle, resize, and export any animal using AI technology.",Free,"[""animal"", ""Generative AI"", ""Productivity""]",90,https://higgsfield.ai,"[""AI Powered"", ""Easy Export"", ""Customizable""]",https://higgsfield.ai/thumbnail/default.jpg,ai-animal-generator-185,2026-07-27T16:04:39.912867+00:00
Archistar,AI-powered site analysis for architects and real estate developers,Paid,"[""architecture"", ""Generative AI"", ""Site Analysis""]",90,https://www.archistar.ai,"[""AI Site Analysis"", ""Real-time Feedback"", ""Data Driven""]",,archistar-186,2026-07-29T15:31:16.475182+00:00
Autodesk Forma,Cloud-based AI platform for early-stage site and massing design,Paid,"[""architecture"", ""AI Design"", ""Cloud-based""]",92,https://www.autodesk.com/products/forma,"[""Cloud Based"", ""AI Design"", ""Optimal Layouts""]",,autodesk-forma-187,2026-07-29T15:31:20.922213+00:00
Rendair AI,Web-based AI rendering tool for architects and students,$7.60/mo,"[""architecture"", ""AI Rendering"", ""Web-based""]",88,https://www.rendair.ai,"[""Web Based"", ""AI Rendering"", ""Student Friendly""]",https://framerusercontent.com/images/vFk0hJn6Lcpe7iU05hzZ9UQ7ao.webp,rendair-ai-188,2026-07-29T15:31:22.915694+00:00
JetBrains AI,Intelligent coding assistance and AI solutions for professional software development,Paid,"[""j"", ""AI Coding"", ""Professional Development""]",92,https://www.jetbrains.com/ai,"[""AI Coding"", ""Agentic Workflows"", ""Database Tasks""]",https://resources.jetbrains.com/storage/products/ai/img/meta/ai_solutions_preview.png,jetbrains-ai-189,2026-07-29T15:32:01.595164+00:00
Retell AI,Conversational AI platform for customer service and automation,Usage-based,"[""j"", ""Conversational AI"", ""Customer Service""]",91,https://www.retellai.com,"[""AI Voice Agents"", ""AI Chat Agents"", ""Scalable Pricing""]",https://cdn.prod.website-files.com/64ada0f2685b2d18caa5e699/6969444ef240182f4befc819_screenshot-20260115-113013.webp,retell-ai-190,2026-07-29T15:32:02.479274+00:00
Crreo AI,AI video generator for long-form creators with flexible plans and annual savings.,$14-$79/mo,"[""video"", ""Generative AI"", ""Content Creation""]",92,https://www.crreo.ai,"[""Long Form"", ""Flexible Plans"", ""Annual Savings""]",https://www.crreo.ai/assets/images/og-tags-images/og-landing.png,crreo-ai-191,2026-07-29T15:32:24.214656+00:00
Lovable,AI tool for building apps and websites without coding,Paid,"[""f"", ""App Building"", ""No-code""]",80,https://www.lovable.ai,"[""Simple Prompts"", ""App Building"", ""No Code""]",,lovable-192,2026-07-29T15:32:54.080341+00:00
HeyGen,AI video generator for creating videos with ease,Freemium,"[""video"", ""AI Generator"", ""Content Creation""]",92,https://heygen.io,"[""Unlimited Videos"", ""Collaboration Tools"", ""AI Templates""]",https://cdn.sanity.io/images/pdhqcmb1/production/579e83ff34c4c832744efaedb9681d255e58dc13-1200x630.png?fit=max&amp;fm=png,heygen-193,2026-07-29T16:22:50.54874+00:00
VEED,AI video editor for faster content production,Free,"[""video"", ""AI Editor"", ""Productivity""]",95,https://veed.io,"[""Real-time Editing"", ""No-code Interface"", ""AI Assistance""]",https://cdn-site-assets.veed.io/global_og_image_b90c2ac2f9/global_og_image_b90c2ac2f9.jpg,veed-194,2026-07-29T16:22:54.883453+00:00
Adobe Firefly,Create stunning visuals with Adobe's free AI text to image generator.,Free,"[""I want to generate images from text"", ""Generative AI"", ""Creative""]",95,https://www.adobe.com/products/firefly/features/text-to-image.html,"[""Artistic Outputs"", ""High Resolution"", ""Easy Use""]",https://www.adobe.com/products/firefly/features/media_11e82e9ab0fa602d9f985634192016e1729f9c9e3.jpg?width=1200&#x26;format=pjpg&#x26;optimize=medium,adobe-firefly-196,2026-07-29T16:45:35.231509+00:00
1minAI,Generate creative artwork and more with 1minAI's all-in-one AI app.,Freemium,"[""I want to generate images from text"", ""Generative AI"", ""Productivity""]",90,https://1min.ai,"[""All-in-One"", ""Reasonable Pricing"", ""No Hidden Fees""]",https://asset.1min.ai/resources/email-logo-black.png,1minai-197,2026-07-29T16:45:38.594315+00:00
